MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
39,63,1648.8962538756837,10202,1838,8364,1548.8962538756837,18.01607527935699
30,73,1648.7646165095339,11590,2234,9356,1548.7646165095339,19.275237273511646
85,13,1648.3256924373236,22175,5011,17164,1548.3256924373236,22.597519729425027
67,33,1648.0685452112232,11441,2088,9353,1548.0685452112232,18.25015295865746
37,82,1648.0514145268512,10157,1876,8281,1548.0514145268512,18.470020675396277
54,40,1647.8920499902802,9435,1514,7921,1547.8920499902802,16.04663487016428
93,38,1647.5166842421568,10195,1839,8356,1547.5166842421568,18.03825404610103
91,67,1647.194462718142,6789,1058,5731,1547.194462718142,15.584032994550007
72,100,1647.1703201243727,6912,1131,5781,1547.1703201243727,16.36284722222222
14,50,1647.1391204883653,17939,4164,13775,1547.1391204883653,23.21199620937622
83,73,1646.3356985765895,5820,801,5019,1546.3356985765895,13.762886597938145
15,25,1645.454480101552,20141,4388,15753,1545.454480101552,21.786405838836203
46,35,1645.37440020919,10590,1761,8829,1545.37440020919,16.628895184135978
62,48,1644.5692707440107,8297,1311,6986,1544.5692707440107,15.800891888634446
39,72,1644.5409027057258,10120,1896,8224,1544.5409027057258,18.73517786561265
24,16,1643.9948123273314,19648,4101,15547,1543.9948123273314,20.872353420195438
76,32,1642.8259059149455,11635,2122,9513,1542.8259059149455,18.238074774387623
11,40,1642.7478252411743,21864,5228,16636,1542.7478252411743,23.911452616172703
96,54,1641.7610924986282,8054,1303,6751,1541.7610924986282,16.17829649863422
85,38,1641.3634999610558,10239,1838,8401,1541.3634999610558,17.950971774587362
71,75,1641.2742000130088,5330,721,4609,1541.2742000130088,13.527204502814257
20,24,1640.0034585137862,15241,3035,12206,1540.0034585137862,19.913391509743455
77,88,1639.7408523099089,5857,814,5043,1539.7408523099089,13.897899948779239
94,75,1639.3067067203601,6219,840,5379,1539.3067067203601,13.506994693680657
59,89,1638.7666179940309,7800,1274,6526,1538.7666179940309,16.333333333333332
63,71,1637.2724930814384,6546,964,5582,1537.2724930814384,14.726550565230676
54,68,1636.680514642329,7929,1207,6722,1536.680514642329,15.222600580148821
14,29,1636.6130692583247,20572,4603,15969,1536.6130692583247,22.375072914641258
94,76,1635.3879606038463,6107,816,5291,1535.3879606038463,13.361716063533649
95,49,1635.2778775000609,8486,1419,7067,1535.2778775000609,16.721659203393823
33,59,1634.8182202943508,11388,2104,9284,1534.8182202943508,18.475588338602037
20,75,1634.698599964774,13628,2929,10699,1534.698599964774,21.49251540945113
42,65,1633.6892154463153,9773,1750,8023,1533.6892154463153,17.90647702854804
30,15,1633.1749998926707,20763,4521,16242,1533.1749998926707,21.774310070799014
61,79,1633.0750760664557,7424,1127,6297,1533.0750760664557,15.18049568965517
53,18,1631.1194447383543,17768,3858,13910,1531.1194447383543,21.71319225574066
88,73,1628.9628630254342,6132,864,5268,1528.9628630254342,14.090019569471623
84,16,1628.8413125139127,19106,4186,14920,1528.8413125139127,21.909347848843293
32,100,1628.6457100031635,10548,2075,8473,1528.6457100031635,19.67197572999621
44,71,1628.5933803465457,9531,1750,7781,1528.5933803465457,18.361137341307312
16,28,1628.017214219225,19065,4114,14951,1528.017214219225,21.57880933648046
