MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
3,65,4612.208323065752,4763,1377,3386,4512.208323065752,28.91035061935755
89,23,4612.084869553358,1385,288,1097,4512.084869553358,20.794223826714802
3,69,4611.952565205686,4684,1360,3324,4511.952565205686,29.035012809564474
76,48,4609.372812500198,802,139,663,4509.372812500198,17.331670822942645
24,18,4608.577555556725,1633,311,1322,4508.577555556725,19.04470300061237
3,70,4607.486285702508,4694,1367,3327,4507.486285702508,29.12228376651044
88,23,4607.385913033652,1385,287,1098,4507.385913033652,20.72202166064982
7,65,4607.260184616842,2745,726,2019,4507.260184616842,26.44808743169399
62,13,4607.094692310803,2052,439,1613,4507.094692310803,21.393762183235868
49,90,4607.087133329569,814,157,657,4507.087133329569,19.28746928746929
29,14,4606.729571429252,2018,398,1620,4506.729571429252,19.722497522299307
21,91,4606.7171098883155,1328,303,1025,4506.7171098883155,22.816265060240966
5,88,4606.65298863156,3468,974,2494,4506.65298863156,28.08535178777393
9,86,4606.279918598185,2146,556,1590,4506.279918598185,25.908667287977632
12,30,4606.023066671401,2138,491,1647,4506.023066671401,22.96538821328344
8,98,4605.827551015606,2293,581,1712,4505.827551015606,25.337985172263412
5,15,4603.182399993034,4224,1072,3152,4503.182399993034,25.37878787878788
9,83,4602.6353855379675,2154,565,1589,4502.6353855379675,26.230269266480967
3,41,4602.480341453014,5073,1431,3642,4502.480341453014,28.208160851567122
2,88,4600.8210681731925,4861,1368,3493,4500.8210681731925,28.142357539600905
74,21,4600.808523804721,1452,286,1166,4500.808523804721,19.696969696969695
5,94,4600.727914883307,3436,975,2461,4500.727914883307,28.376018626309662
5,87,4600.609770110088,3494,982,2512,4500.609770110088,28.105323411562676
34,1,4600.184000000112,3011,616,2395,4500.184000000112,20.458319495184323
96,50,4598.709779997191,732,131,601,4498.709779997191,17.89617486338798
5,46,4598.280282597872,3770,1038,2732,4498.280282597872,27.53315649867374
49,86,4597.514441853961,828,155,673,4497.514441853961,18.719806763285025
27,19,4597.154842101727,1608,316,1292,4497.154842101727,19.65174129353234
4,63,4596.131063486065,4275,1210,3065,4496.131063486065,28.30409356725146
5,71,4596.061943655076,3508,987,2521,4496.061943655076,28.13568985176739
3,43,4595.551186035714,5037,1431,3606,4495.551186035714,28.409767718880286
23,55,4595.521400007862,1376,286,1090,4495.521400007862,20.78488372093023
19,67,4595.23800000638,1347,293,1054,4495.23800000638,21.752041573867857
82,25,4595.1166399918975,1375,250,1125,4495.1166399918975,18.181818181818183
52,21,4594.5131428505465,1477,303,1174,4494.5131428505465,20.51455653351388
83,25,4590.633759991845,1388,253,1135,4490.633759991845,18.227665706051873
6,75,4590.122613327617,3007,812,2195,4490.122613327617,27.003658131027603
49,12,4589.895833345194,2182,491,1691,4489.895833345194,22.502291475710358
49,26,4589.027884615619,1322,235,1087,4489.027884615619,17.77609682299546
53,93,4586.389881713682,773,149,624,4486.389881713682,19.27554980595084
76,1,4585.601000000111,2821,560,2261,4485.601000000111,19.851116625310176
14,80,4585.018587499553,1494,348,1146,4485.018587499553,23.293172690763054
77,24,4583.08641665111,1410,262,1148,4483.08641665111,18.581560283687942
35,19,4581.207315789844,1577,325,1252,4481.207315789844,20.608750792644262
99,19,4581.081368418299,1525,302,1223,4481.081368418299,19.80327868852459
5,9,4580.5936666607095,4289,1034,3255,4480.5936666607095,24.10818372581021
2,39,4579.699435892544,5366,1499,3867,4479.699435892544,27.935147223257545
87,23,4579.554652163034,1392,285,1107,4479.554652163034,20.474137931034484
50,21,4577.09661904475,1460,299,1161,4477.09661904475,20.47945205479452
75,1,4575.94700000011,2828,562,2266,4475.94700000011,19.872701555869874
21,89,4575.917404492381,1286,299,987,4475.917404492381,23.250388802488338
54,22,4575.259909084861,1424,295,1129,4475.259909084861,20.71629213483146
51,21,4574.725999993079,1463,300,1163,4474.725999993079,20.50580997949419
83,50,4574.614660001453,726,128,598,4474.614660001453,17.63085399449036
65,21,4573.813523802465,1450,285,1165,4473.813523802465,19.655172413793103
65,57,4573.790385963797,631,81,550,4473.790385963797,12.836767036450079
11,14,4573.648071435882,2294,457,1837,4473.648071435882,19.92153443766347
67,22,4573.515409081927,1432,290,1142,4473.515409081927,20.251396648044693
12,13,4573.035615383821,2031,402,1629,4473.035615383821,19.79320531757755
13,29,4572.532482758449,2082,478,1604,4472.532482758449,22.958693563880882
49,93,4570.898860207777,811,153,658,4470.898860207777,18.865598027127003
4,28,4569.985821428511,4637,1269,3368,4469.985821428511,27.366832003450508
13,34,4569.04070588957,2045,504,1541,4469.04070588957,24.64547677261614
78,48,4565.5230000008405,789,139,650,4465.5230000008405,17.61723700887199
87,50,4562.352840000818,752,126,626,4462.352840000818,16.75531914893617
